Pathway	pVal	zScore	Genes	type	comparison
beta-estradiol Signaling	12.55909092	-1.005	"ABCA1,ACOX2,ACSL1,ACTA2,ACVR2B,ADCY1,AEBP1,AHR,AKAP12,AKT1S1,ALDH7A1,ANK3,APBA1,APEX1,ARL4A,ATAD2,ATP1B1,ATP2B2,ATXN3,BAX,BAZ1A,BCAS1,BCAT1,BCL6,BIN1,BIRC3,BIRC5,BLNK,BMPR1A,BMPR1B,BRINP2,BSG,BUB1,C9orf24,CA12,CACNG4,CALB1,CALCB,CAP2,CAST,CCL4,CCL5,CCN1,CCNB2,CCND2,CCR5,CCT2,CD24,CD274,CD276,CD55,CDC20,CDC25A,CDC45,CDCA7,CDK1,CDK5,CDK5R1,CDKN1C,CDKN3,CENPF,CENPM,CHEK1,CHRM3,CKB,CKS1B,CKS2,CLDN11,CLDND1,CNP,CNR1,CNTFR,COCH,COL1A2,COL3A1,COX5A,CPM,CPT1A,CPXM1,CTNNA2,CXCL12,DBN1,DCLK1,DDB2,DDIT3,DDOST,DHCR7,DLG2,DLG3,DLGAP5,DMBT1,DUSP10,DUSP4,EFNB2,EGFR,EHMT2,EIF4EBP1,ELF1,ELOVL2,ENC1,ENPP2,EPAS1,ERBB4,ETV1,ETV4,EZH2,F2RL1,FABP5,FAM107A,FARP1,FBLN1,FBLN2,FGF1,FHL1,FHL2,FN1,FNDC5,FOLH1,FOXC1,FOXG1,FOXM1,FOXO1,FST,FSTL1,FZD2,G6PD,GADD45A,GAL,GCNT4,GCSH,GDNF,GFAP,GJA1,GJB1,GLI2,GMFB,GNA11,GPRC5A,GPX3,GRIA1,GRM5,HAMP,HAPLN2,HBA1/HBA2,HBB,HDAC2,HELLS,HES1,HEY1,HMGA2,HSPA2,IDH2,IFRD1,IGFBP2,IGFBP4,IGFBP5,IGFBP7,IGSF1,IL1A,IL1B,INHBB,IRF7,ITGAE,ITGB3,JAK2,JAM2,KCNQ5,KIF4A,KLK6,LAMB2,LARP6,LIN7A,LMO3,LRATD1,LRP8,LRRC8A,MAD2L1,MAGI1,MAGI2,MAL,MAL2,MAOA,MAP2K2,MAP3K7,MAPK3,MATN2,MAX,MBD4,MBP,MCM10,MCM4,MCM6,MCM7,MEF2A,MKI67,MOBP,MPPED2,MX1,MYBL1,MYC,MYH7,MYLK,MYO10,MYO1B,NARF,NCAM1,NDC80,NDRG1,NELL2,NFE2L2,NGFR,NME1,NOTCH3,NR0B1,NR2F1,NR3C1,NRG1,NTN1,NTRK3,NUCB2,NXPH1,PAK5,PAM,PAMR1,PANK1,PBK,PBX1,PDE4B,PDGFRA,PDGFRB,PEG10,PENK,PHLDA1,PIK3R1,PIK3R2,PIK3R3,PLAAT4,PLAT,PLXNA4,PMP22,PPARA,PRC1,PRDX4,PROM1,PRSS23,PSAP,PTK2,PTP4A2,PTX3,PXDN,PYCR1,RACK1,RANBP1,RAP1A,RAP1GAP,RARRES2,RASD1,RBM15B,RDX,REEP1,RGS13,RND3,RRM2,RUNX1,RUNX2,S1PR1,SBK1,SCG2,SDC3,SELENOP,SEMA3A,SEMA3C,SEPTIN4,SERPINE1,SEZ6,SFRP2,SGK1,SHISA2,SIAH2,SKP2,SLC11A2,SLC20A1,SLC24A3,SLC9A1,SLITRK4,SMOC1,SNAI2,SNAP25,SOX11,SOX4,SOX5,SOX9,SPOCK1,SPOCK2,SPTAN1,SSTR2,ST8SIA1,STAT3,STON1,TAC3,TANK,TEAD4,TF,TFAP2C,TFPI,TGFB2,TIAM1,TIMM13,TIMP3,TJP2,TK1,TMED9,TMEM132B,TMEM164,TMEM87A,TOP2A,TP53,TP53INP1,TPD52,TRIB2,TRIM24,TRNT1,TRPC1,TSC22D1,TSKU,TSPO,TUBB4B,TUBG1,TUFT1,TXNL4A,UBE2C,UBE2T,UBL3,UGT8,USP53,VAMP1,VCAN,WEE1,ZBTB18,ZEB1,ZNF148,ZNF655"	Upstream	Adult_vs_Fetal
bexarotene Signaling	3.298432015	-1.857	"ABCA1,ADD3,AKR1C1/AKR1C2,AKR1C3,ANAPC11,BCL11B,BMP7,CCN1,COX8A,CST3,DACH1,DCTN3,DLK1,EFNA5,EFNB3,EGFR,EPHA2,ERBB4,FABP7,GDNF,GFAP,GPM6B,GSX2,IL1B,MLLT11,NEUROD6,NGFR,PAX6,PCDH15,PIK3R1,PLAT,PTOV1,RABAC1,RORB,SIAH2,TGFB2,TUBB3"	Upstream	Adult_vs_Fetal
birabresib Signaling	3.661543506	1.897	"BCAT1,CDH10,CHRNA9,DDIT3,EFNB2,HS6ST2,KCTD15,KIF11,MAMDC2,MYC,NOG,NPTX2,PCDH9,PDE9A,PDLIM2,PTPRF,RAI14,TNFRSF10B"	Upstream	Adult_vs_Fetal
BMP6 Signaling	3.542118103	0.571	"ACTA2,ADD3,ADGRL2,AKTIP,CDKN2D,CHD3,EPHX1,ETV5,HAMP,IL1A,MATN2,MYH10,NOG,PCSK6,PMP22,SEMA3A,SERPINE1,SLC20A1,SLC39A10,SMARCA1,VCL,WNT2,ZEB1"	Upstream	Adult_vs_Fetal
BMP7 Signaling	4.242603971	-0.336	"ACTA2,ATP5F1A,BIRC5,BMP7,BMPR1A,CALD1,CD34,COL1A2,COL5A2,DLK1,EGFR,FN1,FZD7,GJA1,GNG11,HAMP,IGFBP4,IGFBP5,IL1B,MAPK3,NCAM1,NDRG1,NOG,PAX6,PCSK6,PDGFRB,PENK,PIK3R1,PRDM16,RUNX2,SERPINE1,SMAD1,TCF3,TMEM132A,VCAN,ZIC1,ZIC2"	Upstream	Adult_vs_Fetal
BNIP3L Signaling	4.343901798	2.846	"ALAS2,BLNK,CD22,CD47,CDKN3,CENPF,CHEK1,CKAP2,CST3,GADD45A,IL1B,KIF11,NUF2,PDGFRB,RRM2,SGO1,STAT3,TOP2A"	Upstream	Adult_vs_Fetal
Branching of cells	19.01322827	-3.334	"CELSR1,ERBB4,FAM107A,CNR1,PPARA,EFNA5,TRIM3,DPYSL4,TNC,EFNB2,EFNB1,DLG1,EZR,TIAM1,NRG1,PTK2,GDNF,CCL19,CDK5R1,AHR,SGK1,RIMS3,CXCL12,SARM1,CRH,CCN1,PKD1,S1PR3,CRMP1,MAGI2,MAG,TP53,EPHB1,ROR1,DOCK1,FN1,FARP1,STK11,SEPTIN11,CDH10,CHRNB2,NTRK3,IL1RAPL1,GRM5,EIF4EBP1,BMP7,PAQR3,APBA1,LMO2,PAK1,PLAT,TRPC1,RPS14,PLXNA4,SRCIN1,CTNNA2,NUMB,NCAM1,CHMP2B,NEFM,ZNF365,RND2,FGFR1,PAM,GALNS,ADCY6,PCDH9,BASP1,PLD1,DPYSL5,RAI1,PALLD,STAT3,MOG,MAP7,NSG1,FGF13,PTPRF,NGF,RND3,APLN,CYLD,ROBO2,NEUROD6,IL1B,EPHB3,SV2A,RIMS4,GAP43,DBN1,ADAMTS3,CPEB4,SPTBN2,CDK5,EPHB2,GABRB3,PLPPR5,SCN1A,SLIT1,SMAD1,DCX,EPS8,HS6ST2,IGSF9,CALD1,RUNX2,MARCKS,SEMA4D,PF4,GLUL,ITGA3,PALM,ADAM10,NEFL,TBC1D24,PTN,ETV4,ITGB3,NLGN3,MAPK3,NFATC4,CDK4,LMNB1,RRAS2,NTN1,EPHB4,RPS6KA3,MFN1,RIMS1,MFGE8,DYNLT1,NGFR,CTBP2,SEMA3A,DPYSL3,ADAP1,CNTF,CTNND2"	Functional	Adult_vs_Fetal
BRD4 Signaling	5.062983893	-3.767	"ACTA2,AURKB,CCND2,CDC25A,CDCA5,COL1A2,COL4A1,DCTPP1,DDIT3,DERL3,DMAP1,FN1,INSM1,IRF8,KCNA3,KCNQ5,KIF23,LOXL1,MAL,MANEAL,MTMR2,MYC,NME1,PDGFC,PDGFRB,PLAT,PTPN22,RAI14,RRM2,SLC19A1,SRM,TNFRSF10B,TOP2A,TUBB"	Upstream	Adult_vs_Fetal
calcitriol Signaling	8	1.535	"ACADSB,ACSL1,AGPAT5,AHR,ATIC,ATP5F1D,BAX,BCAT1,BIRC5,BMP7,BUB1B,CALB1,CALCB,CCN1,CDC20,CDC45,CDCA5,CDK1,CDK5R1,CELSR3,CENPH,CENPM,CENPS/CENPS-CORT,COL4A1,COL4A2,CPT1A,CXCL12,DCTPP1,DDAH1,DOK5,DUSP10,ECT2,EGFR,ENPEP,EPHB2,ETV5,EZH2,F2RL1,FAM107A,FBN2,FECH,FN1,FOXM1,G6PD,GADD45A,GRK5,IDH2,IGFBP5,IL1A,IL1B,IRF7,KIF20A,KIF23,KLK6,LPAR1,LRRC17,MAD2L1,MAL,MAOA,MCM4,MCM7,MELK,MRPS6,MTCH1,MX1,MYC,MYT1,NCAM1,NEK2,NGF,NME4,NTHL1,NUSAP1,PADI2,PALMD,PBK,PCLAF,PDE9A,PDLIM2,PLCG1,PLD1,PPA2,PPP1CA,PRC1,PRDX5,PYCR1,RACGAP1,RRM2,SERPINB1,SERPINB6,SKP2,SLC25A6,STAT3,TAGLN2,TF,TFPI,TGFB2,TJP2,TK1,TNFRSF10B,TNFRSF10D,TP53,TPX2,TSKU,TSPO,UXS1,VCL,WEE1"	Upstream	Adult_vs_Fetal
CASR Signaling	3.844663963	-3.505	"BAX,BIRC5,BMP7,BUB1B,CCND2,CDC20,CDC45,CENPH,CENPS/CENPS-CORT,COL4A1,COL4A2,DCTPP1,EGFR,EZH2,GABBR1,GABBR2,GADD45A,IGFBP5,KIF11,MAD2L1,MAGI1,NUSAP1,PDLIM2,PPP1CA,PRC1,SERPINB6,TGFB2,TK1,TPX2,VCL"	Upstream	Adult_vs_Fetal
CCND1 Signaling	14.3053948	-2.621	"AFAP1,ASPM,ATAD2,BIRC5,BRIP1,CCDC32,CCND2,CDC45,CDCA2,CDCA7,CDCA7L,CDK4,CENPF,CENPH,CENPK,COL20A1,COL27A1,COL5A2,CTNNA2,CTNNBIP1,DEPDC1,EGFR,EIF5A2,ELOVL7,ENDOD1,ENPP2,EPHA2,EPS8,ERBIN,ESCO2,FAM83D,FGFR1,FOXM1,FZD7,GPC6,GPRC5A,H4C8,HECTD2,HJURP,ITGB3,ITSN2,JPT1,KIF11,KIF20A,KIF2C,KIF4A,KNL1,LAMB2,MAGI2,MARCKS,MARK1,MCM10,MCM4,MCM7,MELK,MYBL1,MYC,MYLK,MYT1,PCLAF,PDLIM3,PDLIM4,PPCS,PSRC1,RACGAP1,RCN1,RNF170,RPL13,RPL27A,RRM2,RUFY3,SERINC3,SOX2,SOX4,SPC25,ST6GALNAC5,SVIP,TIAM1,TMSB15A,TP53,TP53INP1,TPX2,TRPM8,TUBB,UHRF1,ZNF148,ZNF423"	Upstream	Adult_vs_Fetal
CDK4 Signaling	8.312471039	0	"CCDC32,CDC45,CDCA2,CDCA7,CDCA7L,CDK4,CENPF,CENPH,CENPK,CTNNA2,DHFR,EIF5A2,ENDOD1,ENPP2,FAM83D,FZD7,GPC6,H4C8,HJURP,KIF11,KIF20A,KIF2C,KIF4A,KNL1,MAGI2,MCM7,MELK,MYBL1,MYT1,PCLAF,PDLIM3,PPCS,RNF170,RUFY3,SERINC3,SPC25,TMSB15A,TP53,TP53INP1,TPX2,ZNF423"	Upstream	Adult_vs_Fetal
CDKN1A Signaling	7.647817482	1.738	"ACTA2,ADAM10,ASPM,ATAD2,AURKB,BAX,BIRC5,BUB1,BUB1B,CCN1,CDC20,CDC25A,CDK1,CDK4,CDKN3,CENPF,CHEK1,CIT,CKS1B,COL4A1,COL4A2,CRYAB,DLGAP5,DSE,ECSIT,EOMES,FN1,FOXM1,GADD45A,GMFB,H2AX,HJURP,IL1B,ITGB3,KIF20A,KIF2C,MAD2L1,MCM4,MCM6,MCM7,MKI67,MYC,NUSAP1,PBK,PCLAF,PHGDH,PRC1,PRSS23,PSAP,RACGAP1,SERPINE1,SOX9,TOP2A,TP53,TPX2,TTK,TUBB3,UBE2C,UBE2T,UHRF1,YBX1"	Upstream	Adult_vs_Fetal
CDKN2A Signaling	5.442492798	4.032	"ATAD2,AURKB,BAX,BIRC5,BUB1B,CCL19,CCL4,CCL5,CDC25A,CDCA5,CDCA7L,CDK1,CDKN2D,CENPK,CXCL14,DHFR,E2F6,EPS8,EZH2,FBL,FBXO5,FGFR1,FHL2,FST,GAS7,GPRC5A,GTF3C1,GTSE1,H2AX,HACD3,HAUS1,IGF2BP3,IGFBP5,IL1A,IL1B,ITGB3,JAK2,KCNK1,MAD2L1,MCM4,MCM7,MELK,MKI67,MYC,NR3C1,PDGFRB,POLK,PSMB9,PTX3,RRM2,SERPINE1,SKP2,SOX2,TK1,TP53,TP53INP1,TRIM28,ZMAT3,ZNF655"	Upstream	Adult_vs_Fetal
Cell cycle progression	14.39685563	-3.498	"PATZ1,NEK2,ERBB4,POLD4,CCNB2,DBF4,TNFRSF10B,TUBA1A,TNC,ANGEL2,GTSE1,S1PR1,PTX3,SLC19A1,KLHL2,TOP2A,NF2,BIRC5,NRG1,PTK2,WWC1,HELLS,OSBPL9,FOXG1,BCL6,AHR,CDK5R1,SGK1,SMARCA1,IL1A,ZNF274,UBE2C,BAX,CD24,IFI16,CALCB,RHOU,TTC28,FBXO5,ZIC5,CRH,CCN1,RUVBL1,MCM7,PKD1,TADA2A,PPP2R3A,IKZF3,KIF11,METTL14,DLX2,DENND2B,STK11,NTRK3,ADCY2,DMTF1,SAFB,TPX2,FOXC1,BCL11B,DBI,NME1,CDCA5,PAX6,SEPTIN9,BANF1,AURKB,FGFR1,PPM1D,TUBB3,HDAC8,SKA2,YAP1,DMRT1,NR2E1,SKA3,FOXK1,HAUS1,BRINP1,STAT3,SKP2,CDKN2D,RUNX1,SOX2,RASSF2,OBSL1,EGFR,PDGFRA,GAS1,TGFB2,MELK,RACGAP1,DLGAP5,VAV2,BMPR1A,EZH2,MYC,EPS8,CALD1,MARCKS,FGF1,SSRP1,C1orf61,BMPR1B,ZNF703,PTN,DGCR5,STAT1,NOL3,ZNF655,NUF2,TOX,TACC2,NDC80,SDC3,MAP3K7,RCC1,CDK4,TUBB,ICOSLG/LOC102723996,WEE1,CIT,RAD17,CDKN3,CHEK1,DCLK1,BRINP2,PTPRB,FOXM1,PPARA,TSPO,CD274,AJUBA,NOG,BRINP3,ADGRL2,TTYH1,MKI67,BAZ1A,TBCD,MYT1,CCND2,USP3,DLG1,HAS3,MAPK12,EZR,ANAPC11,TRIM39,VCAN,CKS1B,CKAP2,NEK7,CXCL12,TF,PLAAT3,PRDM5,ORC6,SLC20A1,TAF12,NUSAP1,MAX,TP53,NOTCH2,PURA,IRF7,DDIT3,EIF4EBP1,FOXO1,BMP7,CCNB1IP1,PDGFRB,HDAC2,RACK1,PAK1,CHRM3,SENP6,IGFBP2,OGT,UHRF2,MAD2L1,PCGF2,GRK5,KNL1,CENPF,SPC25,MAP2K2,CAST,PLCG1,KIF18B,KIF15,CDK1,ZNF365,E2F6,LRP5,IRF9,TTK,MSI1,SHROOM2,SAC3D1,TUBG1,SMO,PHB,DOT1L,PCLAF,ESCO2,KIF4A,CDKN1C,PTPRF,MLST8,LAMTOR2,NGF,GAS7,COPZ2,CYLD,ATAT1,JAK2,IL1B,CRYAB,CDC25A,INSR,ZEB1,RAP1GAP,IGFBP5,CDK5,PRMT1,PPARD,PDXP,ZIC1,KIF2C,PIK3R2,RPS6KA2,NR3C1,GADD45A,CXCL14,SKA1,C6orf89,NOTCH3,RUNX2,MSH2,GJA1,PF4,BUB1B,CBX7,PIK3R1,TP53INP1,CDK19,DHFR,DYNLT3,PFDN4,BLNK,PTPRN2,MAPK3,DDB2,TCF3,RRAS2,FBXO4,CENPH,RPS6KA3,PPP1CA,MAGED1,NIPBL,CDC20,MYH10,ING1,ARX,CCT4,NGFR,BUB1,FHL2,SGO1,TBRG1,GAL,RNF112"	Functional	Adult_vs_Fetal
Cell movement	17.79317412	-1.995	"PDLIM4,GSX2,KLK6,GNA11,ERBB4,PARP9,CD22,DACH1,DBF4,ITGA7,PAK3,SNAI2,PBK,NFKBIB,CATSPER2,ST8SIA2,HAMP,BCAT1,GLIS2,SPOCK1,CHST2,PLEKHG5,FNBP1L,ATP1B2,SLC1A2,MYRF,FOXG1,RAB21,CCL19,EOMES,LGALS8,SGK1,SCG2,OPCML,BAX,FST,CD24,CCN1,RUVBL1,INSM1,MARCHF1,PTP4A2,EHMT2,TEKT2,CELSR3,MAGI2,SYNE2,EPHB1,GPR161,SPRY4,SNAP23,TMSB15B,CCDC40,PLCL1,AHCY,TRPM4,PLAT,CD276,NCAM1,PAX6,MYO18A,TUBB2B,AFAP1,HAX1,PARD3,SIX4,DMRT1,YAP1,MOSPD2,PALLD,PROM1,IRF8,STAT3,CA9,SKP2,RUNX1,ANO6,MARCKSL1,STUB1,NR0B1,APLN,SEMA5A,PVT1,COL4A1,SP100,TGFB2,IGF2BP3,RACGAP1,NSF,CREB3L1,VAV2,RAB13,BMPR1A,SLIT1,STMN3,COL11A1,SMAD1,CD55,CALD1,SCLT1,FGF1,F2RL1,CELF3,RARRES2,TUSC3,SINHCAF,ZNF703,PTN,CERS6,ETV4,ITK,TPM2,CHST1,SDC3,PMP22,CDK4,ADGRL3,ARL4C,SHC4,IGFBP7,SOX11,CTNNBIP1,CNTF,CDKN3,KCNA3,CTNND2,TBCCD1,DCLK1,IGFBP4,RUFY3,ETV1,PTPRB,CNR1,PPARA,HYAL2,MCF2L,RAP1A,AJUBA,NOG,KLHL20,RABGEF1,TRPM8,UNC5D,HAS3,MAPK12,EZR,TIAM1,RCC2,MYO1B,FABP7,CHL1,ETV5,VCAN,MYLK,MARK1,HES1,FGD1,CXCL12,TMEM201,NDN,FAT3,PLAAT3,GPR37,NR2F1-AS1,MAX,USP5,TP53,ROR1,LDLRAD4,DOCK1,NOTCH2,CCR5,FN1,TPPP,WLS,YBX1,BMP7,PAQR3,PDGFRB,APBA1,ABR,IGFBP2,EDIL3,TRPC1,RDX,MDGA2,LPAR4,LPXN,MARVELD1,LRP5,SMO,ANGPTL4,MOG,INPP5B,SLC48A1,MATN2,RND3,ADAM9,JAM2,CELSR2,ATAT1,IL1B,EPHB3,GAP43,INSR,CDH4,ZEB1,PTPRT,PNOC,IGFBP5,PDGFC,TEAD4,ANTXR1,FMNL2,DCX,ENPP2,MAGI1,CXCL14,EIF3F,MAZ,RUNX2,ABHD2,TFAP2C,DAB1,PF4,DSE,COL6A1,FHL1,SYNM,PIK3R1,ARHGAP22,TBC1D24,VAMP3,BCAN,TRAF4,KLRC4-KLRK1/KLRK1,MAPK3,TCF3,RRAS2,EPHB4,RPS6KA3,GLI3,CTDSP1,SHC3,ANGPTL1,PLP1,TIMP3,SEMA3A,RASA1,STARD13,CHRNA9,CELSR1,TAGLN2,LPAR1,PICK1,FAM107A,PDE4DIP,ACTA2,CCNB2,ADD2,ROBO3,RASSF8,TRIM3,TNFRSF10B,TUBA1A,TNC,LRP1,ATP5F1A,HMGA2,CD9,TNFRSF11A,GTSE1,S1PR1,NPY,PTX3,SH3KBP1,MYO10,EFNB1,AKT1S1,NF2,LAMA1,SIAH2,NRG1,ACTN1,PTK2,CSPG5,WWC1,GDNF,BCL6,CD47,AHR,CDK5R1,IL1A,DSTN,CD34,IFI16,CALCB,HEY1,RHOU,SERPINB1,FBLN2,EFEMP1,CRH,HTATIP2,GAD1,FOXP1,PENK,MCM7,NDRG1,PKD1,RHOC,THY1,GPSM1,LRATD1,DLX2,PTPRH,ZBTB18,STK11,PRSS3,CLDN5,NTRK3,VSNL1,SERPINH1,RASGRP3,FOXC1,CTNNA1,SIVA1,DTX1,ATP8A1,LPAR2,BCL11B,NME1,CHAD,SCHIP1,TSPAN3,ACSL4,UNC5C,PHLDA1,SRCIN1,BAIAP2,NUMB,NPTX2,SEPTIN9,ORMDL3,B4GALT6,FGFR1,GJB1,PPM1D,APLNR,LMO4,TSPAN15,PHLPP1,NR2E1,RBFOX2,TNFRSF10D,LRP8,SCN5A,ATG3,FABP5,CNN3,BCL9,WARS1,SOX2,OSGIN1,KIRREL3,ROBO2,EGFR,PDGFRA,PRF1,FSTL1,MLLT11,DPT,EZH2,MYC,TFPI,ESAM,COL4A2,EPS8,SOX9,CSPG4,MARCKS,EFNB3,SEMA4D,ASAP1,GLUL,GPM6A,MRC2,B4GAT1,ADAM10,FZD7,H2AX,BSG,DNAH11,DGCR5,STAT1,BHLHE41,DLX1,SLC37A4,ADCYAP1R1,PLXNA2,KIF14,NFATC4,MAP3K7,G6PD,KIF26B,COCH,LMNB1,TUBB,ABCA1,MFN1,RAMP2,NR2F2,NR2F1,ECT2,CARMIL1,CTSV,VCL,PLCB2,DMBT1,FOXM1,EFNA5,CST3,CNP,TSPO,CD274,DIP2A,RPS19,F2R,BRINP3,ARNT,S100A10,EFNB2,SOX1,IFT88,CAMK1D,LUCAT1,CLDN11,TGFB1I1,PTPRG,CADPS2,ADGRG6,KCNK2,S1PR3,PCSK6,CRMP1,WIPF1,PARVA,IFIT2,PDE4B,EPHA2,MELTF,MAG,POU3F2,CRIP2,HOMER3,TKT,AKAP12,IRF7,PDLIM2,STON1,ATP1B1,FZD3,MEGF10,EIF4EBP1,FOXO1,CD151,MBP,IGF2BP1,RACK1,COL3A1,BBS4,PAK1,CHRM3,ARHGAP35,GFAP,CTNNA2,PCGF2,SEPTIN4,CENPF,MAP2K2,FAIM2,CAST,PLCG1,CDK1,RGS5,LRP2,TCAF1,SHROOM2,PHB,PLD1,MAP2,CDCA7L,SEMA3C,MX1,FGF13,PTPRF,PCDH15,LAMTOR2,NGF,DUSP4,CYLD,PTPRZ1,PTPN14,JAK2,CCL5,CRYAB,RNH1,DBN1,RAP1GAP,COL1A2,CDK5,EPHB2,ASPM,PRMT1,PPARD,KIF2C,ANKRD28,PIK3R2,NR3C1,ADGRE5,GNG12,GADD45A,SERPINE1,YES1,STAM,NOTCH3,NME2,GJA1,SUN2,ITGA3,DPCD,SPOCK3,ITGAE,SPARCL1,SH3RF1,ANO5,TP53INP1,HMG20A,SFRP2,ITGB3,CCL4,MMP15,MIB1,MAOA,DDB2,ABHD6,NUCB2,SOX2-OT,FBXO4,NTN1,MSMP,SLC9A1,GLI2,MYH10,ARX,FAM89B,NGFR,CTBP2,DPYSL3,FHL2,ASPH,EPAS1,ZC3H12A,POU3F3,BGN,NFE2L2"	Functional	Adult_vs_Fetal
Cell movement of neuroglia	8.696803943	-0.539	"SEMA4D,CXCL12,NDN,F2RL1,EFNA5,NR2E1,TSPO,FZD7,ITGA7,BSG,STAT3,FN1,TNC,LRP1,CD9,MATN2,PMP22,NF2,RRAS2,LMNB1,NTN1,TIAM1,TGFB2,NRG1,GFAP,MYRF,VAV2,TSPAN3,GDNF,NCAM1,CLDN11,NGFR,VCAN,MYLK,SEMA3A,CSPG4,CNTF,SERPINE1"	Functional	Adult_vs_Fetal
Cell movement of neurons	17.17914201	-2.844	"LRP2,DCLK1,MARVELD1,CELSR1,FGFR1,LMO4,CNR1,EFNA5,RBFOX2,ROBO3,LRP8,MAP2,TUBA1A,LRP1,PCDH15,ST8SIA2,UNC5D,MATN2,KIRREL3,PTPRZ1,SPOCK1,ROBO2,EFNB2,CELSR2,EFNB1,SOX1,ATAT1,LAMA1,TIAM1,SLC1A2,NRG1,CDK5,EPHB2,PTK2,ASPM,CSPG5,FOXG1,BMPR1A,GDNF,CDK5R1,EOMES,CHL1,SLIT1,DCX,MARK1,CADPS2,BAX,GJA1,SEMA4D,CXCL12,DAB1,NDN,FAT3,GAD1,ITGA3,GPM6A,CELSR3,ADAM10,SH3RF1,TBC1D24,DLX2,POU3F2,PTN,FN1,ZBTB18,STK11,NTRK3,FZD3,DLX1,SDC3,ADCYAP1R1,PLXNA2,MAP3K7,LMNB1,NTN1,COL3A1,BBS4,GLI3,PLAT,MYH10,ADGRL3,ARX,TRPC1,NR2F2,CTNNA2,PAX6,NGFR,MDGA2,SEPTIN4,TUBB2B,SEMA3A,NR2F1,POU3F3"	Functional	Adult_vs_Fetal
Cell polarity formation	7.289882635	0	"PARD3,PARD6A,PKD1,SYNE2,EPHB1,VANGL2,MAP2,MAP7,BRSK2,STK11,FZD3,CCL4,CTNNA1,KIF26B,DLG1,LAMA1,CD3G,PAK1,EZR,PTK2,WWC1,WEE1,PTK7,FAM89B,CCL19,MYC,CRB1"	Functional	Adult_vs_Fetal
